num_islands,base_seed,island_id,population_mode,pop_per_island,best_fitness,generations,status,solved,config_best_fitness,config_solved,wall_clock_seconds
16,3,0,fixed_total,200,0.7037037037037036,40,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,1,fixed_total,200,0.7037037037037036,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,2,fixed_total,200,0.7037037037037036,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,3,fixed_total,200,0.7777777777777779,60,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,4,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,5,fixed_total,200,1.0,44,Solution Found,True,1.0,True,72.61
16,3,6,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,7,fixed_total,200,0.7037037037037038,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,8,fixed_total,200,0.7037037037037038,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,9,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,10,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,11,fixed_total,200,0.7256515775034293,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,12,fixed_total,200,0.7256515775034293,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,13,fixed_total,200,0.8518518518518521,40,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,14,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,3,15,fixed_total,200,0.8518518518518521,50,Stopped - Another Island Solved,False,1.0,True,72.61
16,67,0,fixed_total,200,0.6625514403292182,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,1,fixed_total,200,0.6625514403292182,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,2,fixed_total,200,1.0,59,Solution Found,True,1.0,True,93.48
16,67,3,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,4,fixed_total,200,0.8518518518518521,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,5,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,6,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,7,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,8,fixed_total,200,0.8518518518518521,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,9,fixed_total,200,0.8518518518518521,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,10,fixed_total,200,0.7777777777777779,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,11,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,12,fixed_total,200,0.8518518518518521,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,13,fixed_total,200,0.7256515775034293,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,14,fixed_total,200,0.7256515775034293,60,Stopped - Another Island Solved,False,1.0,True,93.48
16,67,15,fixed_total,200,0.7256515775034293,70,Stopped - Another Island Solved,False,1.0,True,93.48
16,9,0,fixed_total,200,0.7777777777777781,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,1,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,2,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,3,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,4,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,5,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,6,fixed_total,200,0.7256515775034293,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,7,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,8,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
16,9,9,fixed_total,200,0.8518518518518521,99,Max Generations Reached,False,0.8518518518518521,False,143.14
